,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
0,Adelanto,34.57611111111110,-117.43277777777800,875.0,2871.0,31765,56.027,56.00900000000000,0.018000000000000000,145.107,145.062,0.046,0.03
1,Agoura Hills,34.15333333333330,-118.76166666666700,281.0,922.0,20330,7.822,7.793000000000000,0.029000000000000000,20.26,20.184,0.076,0.37
2,Alameda,37.75611111111110,-122.27444444444400,,33.0,75467,22.96,10.611000000000000,12.349,59.465,27.482,31.983,53.79
3,Albany,37.886944444444400,-122.29777777777800,,43.0,18969,5.465,1.788,3.677,14.155,4.632,9.524,67.28
4,Alhambra,34.081944444444400,-118.135,150.0,492.0,83089,7.632000000000000,7.631,0.001,19.766,19.763000000000000,0.003,0.01
5,Aliso Viejo,33.575,-117.72555555555600,127.0,417.0,47823,7.472,7.472,0.0,19.352,19.352,0.0,0.0
6,Alturas,41.48722222222220,-120.5425,1332.0,4370.0,2827,2.449,2.435,0.014000000000000000,6.3420000000000000,6.306,0.036000000000000000,0.57
7,Amador City,38.419444444444400,-120.82416666666700,280.0,919.0,185,0.314,0.314,0.0,0.813,0.813,0.0,0.0
8,American Canyon,38.168055555555600,-122.2525,14.0,46.0,19454,4.845,4.837,0.008,12.548,12.527000000000000,0.021,0.17
9,Anaheim,33.836111111111100,-117.88972222222200,48.0,157.0,336000,50.81100000000000,49.835,0.976,131.6,129.07300000000000,2.5270000000000000,1.92
10,Anderson,40.452222222222200,-122.29666666666700,132.0,430.0,9932,6.62,6.372000000000000,0.248,17.145,16.504,0.642,3.74
11,Angels Camp,38.068333333333300,-120.53972222222200,420.0,1378.0,3836,3.637,3.628,0.009000000000000000,9.421,9.397,0.024,0.25
12,Antioch,38.005,-121.80583333333300,13.0,43.0,107100,29.083000000000000,28.349,0.7340000000000000,75.324,73.422,1.902,2.52
13,Apple Valley,34.516666666666700,-117.21666666666700,898.0,2946.0,69135,73.523,73.193,0.33,190.426,189.57,0.856,0.45
14,Arcadia,34.132777777777800,-118.0363888888890,147.0,482.0,56364,11.133,10.925,0.20800000000000000,28.836,28.296,0.54,1.87
15,Arcata,40.86638888888890,-124.08277777777800,,23.0,17231,10.994000000000000,9.097000000000000,1.8970000000000000,28.473000000000000,23.561,4.912,17.25
16,Arroyo Grande,35.12083333333330,-120.58666666666700,36.0,118.0,17716,5.835,5.835,0.0,15.113,15.113,0.0,0.0
17,Artesia,33.867222222222200,-118.08055555555600,16.0,52.0,16522,1.621,1.621,0.0,4.197,4.197,0.0,0.0
18,Arvin,35.20916666666670,-118.82833333333300,137.0,449.0,19304,4.819,4.819,0.0,12.482000000000000,12.482000000000000,0.0,0.0
19,Atascadero,35.48416666666670,-120.6725,268.0,879.0,28310,26.13,25.641,0.489,67.675,66.40900000000000,1.265,1.87
20,Atherton,37.45861111111110,-122.2,18.0,59.0,6914,5.0490000000000000,5.0170000000000000,0.032,13.076000000000000,12.993,0.08200000000000000,0.63
21,Atwater,37.34777777777780,-120.60916666666700,46.0,151.0,28168,6.096,6.087000000000000,0.009000000000000000,15.788,15.766000000000000,0.022000000000000000,0.14
22,Auburn,38.89861111111110,-121.07444444444400,374.0,1227.0,13330,7.166,7.138,0.028000000000000000,18.56,18.488,0.071,0.38
23,Avalon,33.340833333333300,-118.32777777777800,9.0,30.0,3728,2.937,2.935,0.002,7.607,7.602,0.005,0.07
24,Avenal,36.00416666666670,-120.12888888888900,246.0,807.0,13239,19.422,19.422,0.0,50.302,50.302,0.0,0.0
25,Azusa,34.13055555555560,-117.90694444444400,186.0,610.0,46361,9.669,9.656,0.013000000000000000,25.042000000000000,25.01,0.032,0.13
26,Bakersfield,35.36666666666670,-119.01666666666700,,404.0,347483,143.609,142.164,1.445,371.94600000000000,368.204,3.742,1.01
27,Baldwin Park,34.08277777777780,-117.97166666666700,114.0,374.0,75390,6.7860000000000000,6.631,0.155,17.575,17.174,0.4,2.28
28,Banning,33.931666666666700,-116.89750000000000,716.0,2349.0,29603,23.099,23.099,0.0,59.826,59.826,0.0,0.0
29,Barstow,34.9,-117.01666666666700,664.0,2178.0,22639,41.394,41.385,0.009000000000000000,107.209,107.186,0.023,0.02
30,Beaumont,33.924166666666700,-116.97361111111100,796.0,2612.0,36877,30.926,30.912,0.014000000000000000,80.098,80.062,0.036000000000000000,0.04
31,Bell,33.983333333333300,-118.18333333333300,43.0,141.0,35477,2.62,2.501,0.11900000000000000,6.7830000000000000,6.476,0.307,4.53
32,Bellflower,33.88805555555560,-118.1275,22.0,71.0,76616,6.17,6.117000000000000,0.053,15.981,15.843,0.138,0.86
33,Bell Gardens,33.96805555555560,-118.15611111111100,37.0,121.0,42072,2.463,2.459,0.004,6.379,6.368000000000000,0.012,0.18
34,Belmont,37.518055555555600,-122.29166666666700,13.0,43.0,25835,4.63,4.621,0.009000000000000000,11.992,11.97,0.022000000000000000,0.19
35,Belvedere,37.87277777777780,-122.46444444444400,11.0,36.0,2068,2.406,0.519,1.8870000000000000,6.234,1.345,4.889000000000000,78.42
36,Benicia,38.06333333333330,-122.15611111111100,8.0,26.0,26997,15.72,12.929,2.7910000000000000,40.714,33.486,7.229,17.75
37,Berkeley,37.87166666666670,-122.27277777777800,200.0,660.0,112580,17.696000000000000,10.47,7.226,45.833,27.118000000000000,18.716000000000000,40.83
38,Beverly Hills,34.073055555555600,-118.39944444444400,79.0,259.0,34290,5.71,5.708000000000000,0.002,14.79,14.784,0.006,0.04
39,Big Bear Lake,34.24138888888890,-116.90333333333300,2058.0,6752.0,5019,6.534,6.346,0.188,16.923,16.435,0.488,2.88
40,Biggs,39.413888888888900,-121.71027777777800,30.0,98.0,1707,0.636,0.636,0.0,1.646,1.646,0.0,0.0
41,Bishop,37.3635,-118.3951,,4150.0,3879,1.911,1.864,0.047,4.949,4.827,0.122,2.5
42,Blue Lake,40.882777777777800,-123.98388888888900,40.0,131.0,1253,0.622,0.5920000000000000,0.03,1.61,1.5330000000000000,0.077,4.8
43,Blythe,33.61027777777780,-114.59638888888900,83.0,272.0,20817,26.972000000000000,26.189,0.7830000000000000,69.855,67.828,2.0270000000000000,2.9
44,Bradbury,34.14944444444440,-117.97444444444400,206.0,676.0,1048,1.9580000000000000,1.9570000000000000,0.001,5.073,5.07,0.003,0.06
45,Brawley,32.978611111111100,-115.53027777777800,-34.0,-112.0,24953,7.682,7.682,0.0,19.895,19.895,0.0,0.0
46,Brea,33.92333333333330,-117.8888888888890,110.0,361.0,39282,12.109000000000000,12.078,0.031,31.363000000000000,31.283,0.08,0.26
47,Brentwood,37.93194444444440,-121.69583333333300,,79.0,51481,14.805,14.786,0.019,38.345,38.295,0.049,0.13
48,Brisbane,37.68083333333330,-122.41916666666700,33.0,108.0,4282,20.077,3.096,16.981000000000000,51.999000000000000,8.017000000000000,43.981,84.58
49,Buellton,34.61416666666670,-120.19388888888900,109.0,358.0,4828,1.5830000000000000,1.5820000000000000,0.001,4.099,4.098,0.002,0.04
50,Buena Park,33.85611111111110,-118.00416666666700,23.0,75.0,80530,10.553000000000000,10.524000000000000,0.029000000000000000,27.332000000000000,27.257000000000000,0.075,0.28
51,Burbank,34.180277777777800,-118.32833333333300,185.0,607.0,103340,17.379,17.341000000000000,0.038,45.011,44.913000000000000,0.098,0.22
52,Burlingame,37.583333333333300,-122.36361111111100,12.0,39.0,28806,6.057,4.406000000000000,1.651,15.686,11.411,4.275,27.25
53,Calabasas,34.138333333333300,-118.66083333333300,243.0,5.0,23058,13.3,13.249,0.051,34.4,34.27,0.131,0.38
54,Calexico,32.678888888888900,-115.49888888888900,,3.0,38572,8.391,8.391,0.0,21.733,21.733,0.0,0.0
55,California City,35.12583333333330,-117.98583333333300,733.0,2405.0,14120,203.63100000000000,203.523,0.10800000000000000,527.401,527.122,0.27900000000000000,0.05
56,Calimesa,33.988055555555600,-117.04305555555600,729.0,2392.0,7879,14.847000000000000,14.847000000000000,0.0,38.454,38.454,0.0,0.0
57,Calipatria,33.12555555555560,-115.51416666666700,,-180.0,7705,3.716,3.716,0.0,9.624,9.624,0.0,0.0
58,Calistoga,38.581388888888900,-122.58277777777800,106.0,348.0,5155,2.613,2.595,0.018000000000000000,6.769,6.722,0.047,0.7
59,Camarillo,34.233333333333300,-119.03333333333300,54.0,177.0,65201,19.543,19.528,0.015,50.617,50.577,0.04,0.08
60,Campbell,37.28388888888890,-121.955,60.0,197.0,39349,5.886,5.798000000000000,0.08800000000000000,15.245,15.017000000000000,0.228,1.49
61,Canyon Lake,33.68416666666670,-117.25555555555600,422.0,1385.0,10561,4.671,3.928,0.743,12.099,10.173,1.926,15.92
62,Capitola,36.97638888888890,-121.95472222222200,4.0,13.0,9918,1.676,1.5930000000000000,0.083,4.34,4.126,0.214,4.92
63,Carlsbad,33.121944444444400,-117.29694444444400,16.0,52.0,105328,39.11,37.722,1.3880000000000000,101.295,97.699,3.596,3.55
64,Carmel by the Sea,36.555277777777800,-121.92333333333300,,,3722,1.08,1.08,0.0,2.798,2.798,0.0,0.0
65,Carpinteria,34.399166666666700,-119.51638888888900,10.0,33.0,13040,9.272,2.5860000000000000,6.686,24.012000000000000,6.697,17.315,72.11
66,Carson,33.83972222222220,-118.25972222222200,8.2,27.0,91714,18.968,18.724,0.244,49.127000000000000,48.495,0.631,1.29
67,Cathedral City,33.80777777777780,-116.46472222222200,100.0,328.0,51200,21.756,21.499000000000000,0.257,56.349,55.683,0.6660000000000000,1.18
68,Ceres,37.60138888888890,-120.95722222222200,28.0,92.0,45417,8.019,8.011000000000000,0.008,20.771,20.749000000000000,0.022000000000000000,0.1
69,Cerritos,33.86833333333330,-118.0675,14.0,34.0,49041,8.856,8.725,0.131,22.937000000000000,22.598000000000000,0.33900000000000000,1.48
70,Chico,39.74,-121.83555555555600,74.0,245.0,86187,33.095,32.923,0.172,85.71600000000000,85.271,0.446,0.52
71,Chino,34.01777777777780,-117.69,222.0,728.0,77983,29.652000000000000,29.639,0.013000000000000000,76.79900000000000,76.766,0.033,0.04
72,Chino Hills,33.97527777777780,-117.72305555555600,365.0,1070.0,75655,44.749000000000000,44.681000000000000,0.068,115.899,115.723,0.175,0.15
73,Chowchilla,37.11666666666670,-120.26666666666700,73.0,240.0,18720,7.6610000000000000,7.6610000000000000,0.0,19.842,19.842,0.0,0.0
74,Chula Vista,32.62777777777780,-117.04805555555600,21.0,69.0,243916,52.094000000000000,49.631,2.463,134.925,128.545,6.38,4.73
75,Citrus Heights,38.7,-121.28333333333300,50.0,164.0,83301,14.228,14.228,0.0,36.851,36.851,0.0,0.0
76,Claremont,34.11,-117.71972222222200,,,34926,13.486000000000000,13.348000000000000,0.138,34.93,34.571,0.358,1.03
77,Clayton,37.941111111111100,-121.93583333333300,120.0,394.0,10897,3.8360000000000000,3.8360000000000000,0.0,9.935,9.935,0.0,0.0
78,Clearlake,38.958333333333300,-122.62638888888900,432.0,1417.0,15250,10.581,10.129,0.452,27.404,26.234,1.17,4.27
79,Cloverdale,38.799166666666700,-123.01722222222200,,335.0,8618,2.648,2.648,0.0,6.857,6.857,0.0,0.0
80,Clovis,36.82527777777780,-119.70305555555600,110.0,361.0,101314,23.278000000000000,23.278000000000000,0.0,60.289000000000000,60.289000000000000,0.0,0.0
81,Coachella,33.67944444444440,-116.17444444444400,-20.74,-66.0,40704,28.95,28.95,0.0,74.98100000000000,74.98100000000000,0.0,0.0
82,Coalinga,36.13972222222220,-120.36027777777800,205.0,673.0,13380,6.15,6.119,0.031,15.927,15.847000000000000,0.08,0.5
83,Colfax,39.09722222222220,-120.9538888888890,739.0,2425.0,1963,1.4070000000000000,1.4070000000000000,0.0,3.645,3.645,0.0,0.0
84,Colma,37.678888888888900,-122.45555555555600,37.0,121.0,1792,1.909,1.909,0.0,4.945,4.945,0.0,0.0
85,Colton,34.065,-117.32166666666700,306.0,1004.0,52154,16.039,15.324000000000000,0.715,41.541000000000000,39.689,1.8520000000000000,4.46
86,Colusa,39.214444444444400,-122.00944444444400,16.0,52.0,5971,1.834,1.834,0.0,4.751,4.751,0.0,0.0
87,Commerce,34.00055555555560,-118.15472222222200,43.0,141.0,12823,6.538000000000000,6.537000000000000,0.001,16.933,16.93,0.003,0.02
88,Compton,33.89666666666670,-118.22500000000000,21.0,69.0,96455,10.116,10.012,0.10400000000000000,26.202000000000000,25.932,0.27,1.03
89,Concord,37.97805555555560,-122.03111111111100,26.0,85.3,122067,30.546,30.546,0.0,79.11400000000000,79.11400000000000,0.0,0.0
90,Corcoran,36.09805555555560,-119.56027777777800,63.0,207.0,25515,7.4670000000000000,7.4670000000000000,0.0,19.338,19.338,0.0,0.0
91,Corning,39.92611111111110,-122.18055555555600,84.0,276.0,17382,3.55,3.55,0.0,9.193,9.193,0.0,0.0
92,Corona,33.86666666666670,-117.56666666666700,206.0,678.0,158391,38.93,38.825,0.105,100.829,100.55800000000000,0.272,0.27
93,Coronado,32.67805555555560,-117.1725,6.0,20.0,24697,32.666,7.931,24.735,84.603,20.541,64.062,75.72
94,Corte Madera,37.925555555555600,-122.5275,12.0,39.0,9253,4.406000000000000,3.1640000000000000,1.242,11.41,8.193,3.216,28.19
95,Costa Mesa,33.665,-117.91222222222200,30.0,98.0,109960,15.7,15.654000000000000,0.046,40.662,40.543,0.11900000000000000,0.29
96,Cotati,38.32777777777780,-122.70916666666700,34.0,112.0,7310,1.883,1.88,0.003,4.877,4.869,0.008,0.17
97,Covina,34.09166666666670,-117.87916666666700,170.0,558.0,47796,7.041,7.026,0.015,18.236,18.196000000000000,0.039,0.22
98,Crescent City,41.755833333333300,-124.20166666666700,,43.0,7643,2.415,1.963,0.452,6.255,5.085,1.17,18.7
99,Cudahy,33.96416666666670,-118.1825,37.0,121.0,23805,1.226,1.175,0.051,3.175,3.043,0.132,4.15
100,Culver City,34.007777777777800,-118.40083333333300,29.0,95.0,38883,5.139000000000000,5.111000000000000,0.028000000000000000,13.31,13.238,0.07200000000000000,0.54
101,Cupertino,37.3175,-122.04194444444400,72.0,236.0,58302,11.257,11.256000000000000,0.001,29.156,29.153000000000000,0.003,0.01
102,Cypress,33.818333333333300,-118.03916666666700,12.0,39.0,47802,6.59,6.581,0.009000000000000000,17.069000000000000,17.045,0.024,0.14
103,Daly City,37.686388888888900,-122.46833333333300,57.0,187.0,101123,7.664,7.664,0.0,19.849,19.849,0.0,0.0
104,Dana Point,33.467222222222200,-117.69805555555600,44.0,144.0,33351,29.484,6.497000000000000,22.987,76.36400000000000,16.828,59.536,77.96
105,Danville,37.82166666666670,-122.0,109.0,358.0,42039,18.028,18.028,0.0,46.693000000000000,46.693000000000000,0.0,0.0
106,Davis,38.553888888888900,-121.73805555555600,16.0,52.0,65622,9.919,9.887,0.032,25.69,25.608,0.08200000000000000,0.32
107,Delano,35.76888888888890,-119.24694444444400,96.0,315.0,53819,14.355,14.303000000000000,0.052000000000000000,37.18,37.044000000000000,0.135,0.36
108,Del Mar,32.955000000000000,-117.26388888888900,34.0,112.0,4161,1.777,1.7070000000000000,0.07,4.602,4.421,0.18100000000000000,3.94
109,Del Rey Oaks,36.593333333333300,-121.835,25.0,82.0,1624,0.483,0.48100000000000000,0.002,1.251,1.246,0.005,0.42
110,Desert Hot Springs,33.961111111111100,-116.50805555555600,328.0,1076.0,25938,23.642,23.615,0.027000000000000000,61.233000000000000,61.164000000000000,0.069,0.11
111,Diamond Bar,34.001666666666700,-117.82083333333300,212.0,696.0,55544,14.885,14.88,0.005,38.552,38.538000000000000,0.014000000000000000,0.04
112,Dinuba,36.545000000000000,-119.38916666666700,102.0,345.0,21453,6.47,6.47,0.0,16.758,16.758,0.0,0.0
113,Dixon,38.44916666666670,-121.82694444444400,19.0,62.0,18351,7.0920000000000000,6.996,0.096,18.368,18.118,0.249,1.36
114,Dorris,41.965,-121.91888888888900,1294.0,4245.0,939,0.718,0.7020000000000000,0.016,1.86,1.819,0.041000000000000000,2.19
115,Dos Palos,36.983333333333300,-120.63333333333300,362.0,118.0,4950,1.35,1.35,0.0,3.4960000000000000,3.4960000000000000,0.0,0.0
116,Downey,33.93805555555560,-118.13083333333300,36.0,118.0,111772,12.568,12.408,0.16,32.551,32.137,0.414,1.27
117,Duarte,34.140277777777800,-117.96166666666700,156.0,512.0,21321,6.69,6.69,0.0,17.328,17.328,0.0,0.0
118,Dublin,37.702222222222200,-121.93583333333300,,367.0,49890,14.912,14.908,0.004,38.622,38.611,0.011000000000000000,0.03
119,Dunsmuir,41.22166666666670,-122.27305555555600,695.0,2280.0,1650,1.735,1.6980000000000000,0.037000000000000000,4.494,4.398,0.096,2.14
120,East Palo Alto,37.466944444444400,-122.13972222222200,6.0,20.0,28155,2.612,2.505,0.107,6.766,6.4880000000000000,0.278,4.11
121,Eastvale,33.963055555555600,-117.56388888888900,,627.0,53668,11.445,11.405,0.04,29.644000000000000,29.539,0.10400000000000000,0.35
122,El Cajon,32.79833333333330,-116.96000000000000,133.0,436.0,99478,14.433,14.433,0.0,37.381,37.381,0.0,0.0
123,El Centro,32.8,-115.56666666666700,-12.0,-39.0,42598,11.099,11.081,0.018000000000000000,28.746,28.7,0.046,0.16
124,El Cerrito,37.91583333333330,-122.31166666666700,,69.0,23549,3.688,3.688,0.0,9.551,9.551,0.0,0.0
125,ElkGrove,38.43833333333330,-121.38194444444400,14.0,45.0,153015,42.239,42.19,0.049,109.398,109.271,0.127,0.12
126,El Monte,34.07333333333330,-118.0275,91.0,299.0,113475,9.648,9.562000000000000,0.086,24.988000000000000,24.766,0.222,0.89
127,El Segundo,33.921388888888900,-118.40611111111100,35.0,115.0,16654,5.465,5.463000000000000,0.002,14.152000000000000,14.148,0.004,0.03
128,Emeryville,37.831388888888900,-122.28527777777800,7.0,23.0,10080,2.01,1.246,0.764,5.206,3.2260000000000000,1.979,38.02
129,Encinitas,33.044444444444400,-117.27166666666700,25.0,82.0,59518,19.99,18.812,1.178,51.772,48.722,3.05,5.89
130,Escalon,37.791666666666700,-120.99166666666700,36.0,118.0,7266,2.3680000000000000,2.301,0.067,6.1340000000000000,5.959,0.175,2.85
131,Escondido,33.124722222222200,-117.08083333333300,197.0,646.0,143911,36.989000000000000,36.813,0.17600000000000000,95.801,95.345,0.456,0.48
132,Etna,41.45722222222220,-122.89694444444400,895.0,2936.0,737,0.759,0.758,0.001,1.965,1.962,0.002,0.12
133,Eureka,40.801944444444400,-124.16361111111100,,39.0,27191,14.454,9.384,5.07,37.435,24.305,13.13,35.07
134,Exeter,36.29416666666670,-119.14277777777800,119.0,390.0,10334,2.463,2.463,0.0,6.379,6.379,0.0,0.0
135,Fairfax,37.98722222222220,-122.58888888888900,35.0,115.0,7441,2.204,2.204,0.0,5.707000000000000,5.707000000000000,0.0,0.0
136,Fairfield,38.257777777777800,-122.05416666666700,4.0,13.0,108321,37.635,34.39,3.245,97.475,94.839,2.635,5.65
137,Farmersville,36.301111111111100,-119.2075,109.0,358.0,10588,2.258,2.258,0.0,5.849,5.849,0.0,0.0
138,Ferndale,40.57666666666670,-124.26333333333300,17.0,56.0,1371,1.0270000000000000,1.0270000000000000,0.0,2.659,2.659,0.0,0.0
139,Fillmore,34.40138888888890,-118.91777777777800,139.0,456.0,15002,3.365,3.364,0.001,8.715,8.712,0.003,0.03
140,Firebaugh,36.85888888888890,-120.45611111111100,46.0,151.0,7549,3.5190000000000000,3.4620000000000000,0.057,9.114000000000000,8.967,0.14800000000000000,1.62
141,Folsom,38.67222222222220,-121.15777777777800,67.0,220.0,72203,24.301,21.945,2.356,62.93900000000000,56.838,6.101,9.69
142,Fontana,34.1,-117.46666666666700,377.0,1237.0,201812,42.432000000000000,42.432000000000000,3.0,109.899,109.899,6.0,3.0
143,Fort Bragg,39.44583333333330,-123.80527777777800,26.0,85.0,7273,2.8,2.7,,7.2,7.1,0.1,
144,Fort Jones,41.60722222222220,-122.84194444444400,842.0,2762.0,839,0.602,0.602,0.0,1.56,1.56,0.0,0.0
145,Fortuna,40.59805555555560,-124.15722222222200,20.0,66.0,11926,4.845,4.845,0.0,12.549000000000000,12.549000000000000,0.0,0.0
146,Foster City,37.55138888888890,-122.26638888888900,2.0,7.0,30567,19.841000000000000,3.7560000000000000,16.085,51.388000000000000,9.729,41.659,81.07
147,Fountain Valley,33.70861111111110,-117.9563888888890,10.0,33.0,55313,9.031,9.018000000000000,0.013000000000000000,23.391,23.357,0.034,0.14
148,Fowler,36.63333333333330,-119.68333333333300,94.0,308.0,5570,2.531,2.531,0.0,6.556,6.556,0.0,0.0
149,Fremont,37.54833333333330,-121.98861111111100,71.0,218.0,220000,87.61,77.459,10.151,226.91,200.618,26.292000000000000,11.59
150,Fresno,36.75,-119.76666666666700,,308.0,509039,112.30800000000000,111.95700000000000,0.35100000000000000,290.877,289.967,0.91,0.31
151,Fullerton,33.88,-117.92861111111100,50.0,164.0,135161,22.36,22.353,0.011000000000000000,57.92100000000000,57.893,0.027000000000000000,0.05
152,Galt,38.26083333333330,-121.30305555555600,16.0,47.0,23647,5.944,5.931,0.013000000000000000,15.397,15.362,0.035,0.23
153,Gardena,33.89361111111110,-118.30777777777800,15.0,49.0,58829,5.865,5.829,0.036000000000000000,15.191000000000000,15.097000000000000,0.094,0.62
154,Garden Grove,33.778888888888900,-117.96027777777800,27.0,89.0,170883,17.959,17.941,0.018000000000000000,46.513000000000000,46.467,0.046,0.1
155,Gilroy,37.011944444444400,-121.58,61.0,200.0,48821,16.156,16.146,0.01,41.845,41.819000000000000,0.027000000000000000,0.06
156,Glendale,34.170833333333300,-118.25,159.0,522.0,196021,30.583000000000000,30.453000000000000,0.13,79.212,78.874,0.33800000000000000,0.43
157,Glendora,34.130833333333300,-117.85416666666700,236.0,774.0,50073,19.558,19.393,0.165,50.655,50.228,0.42700000000000000,0.84
